mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__k,param_svm__C,param_svm__class_weight,param_svm__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.5994991779327392,0.07566297567510855,0.13090157508850098,0.035257272125354705,100,3,,scale,"{'selector__k': 100, 'svm__C': 3, 'svm__class_weight': None, 'svm__gamma': 'scale'}",0.45631834890465334,0.5542163191690761,0.569493706138321,0.46280573845699896,0.4673383653828855,0.5020344956103869,0.04920644410063722,1,0.9833712926423988,0.9789983904256502,0.9779196842575503,0.9889304380527777,0.9678067594951576,0.979405312974707,0.006976476531051686
1.6340251922607423,0.1766450403096826,0.11771087646484375,0.014166832968025855,100,3,,auto,"{'selector__k': 100, 'svm__C': 3, 'svm__class_weight': None, 'svm__gamma': 'auto'}",0.45631834890465334,0.5542163191690761,0.569493706138321,0.46280573845699896,0.4673383653828855,0.5020344956103869,0.04920644410063722,1,0.9833712926423988,0.9789983904256502,0.9779196842575503,0.9889304380527777,0.9678067594951576,0.979405312974707,0.006976476531051686
1.7311642169952393,0.07702129900994183,0.1252518653869629,0.01778944340721651,125,3,,scale,"{'selector__k': 125, 'svm__C': 3, 'svm__class_weight': None, 'svm__gamma': 'scale'}",0.4190881198180249,0.5694412902770963,0.5916197682478123,0.45560139594789073,0.4516480062017819,0.49747971609852115,0.0693403191152618,3,0.9944588004693403,0.9878199100825495,0.9823451383028484,0.9911218545225142,0.9916921799619252,0.9894875766678355,0.004148246461158521
1.7739447593688964,0.11887018607048458,0.1274261951446533,0.005129700953058592,125,3,,auto,"{'selector__k': 125, 'svm__C': 3, 'svm__class_weight': None, 'svm__gamma': 'auto'}",0.4190881198180249,0.5694412902770963,0.5916197682478123,0.45560139594789073,0.4516480062017819,0.49747971609852115,0.0693403191152618,3,0.9944588004693403,0.9878199100825495,0.9823451383028484,0.9911218545225142,0.9916921799619252,0.9894875766678355,0.004148246461158521
1.7430915832519531,0.05467184412910786,0.13492484092712403,0.012481203552322958,150,3,balanced,scale,"{'selector__k': 150, 'svm__C': 3, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale'}",0.41457454640068386,0.5588200190086279,0.5933424623670145,0.4900467464803679,0.4131710781755723,0.4939909704864533,0.0733865175381787,5,0.9944576033069571,0.9911636951988751,0.9856875853400798,0.9933420766464878,0.9906585484703782,0.9910619017925557,0.0030260971323090957
1.8207117557525634,0.0864017182829235,0.13011541366577148,0.012239093169706523,150,3,balanced,auto,"{'selector__k': 150, 'svm__C': 3, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto'}",0.41457454640068386,0.5588200190086279,0.5933424623670145,0.4900467464803679,0.4131710781755723,0.4939909704864533,0.0733865175381787,5,0.9944576033069571,0.9911636951988751,0.9856875853400798,0.9933420766464878,0.9906585484703782,0.9910619017925557,0.0030260971323090957
1.7690791130065917,0.055289437530542114,0.13338155746459962,0.01363082075464805,150,3,,scale,"{'selector__k': 150, 'svm__C': 3, 'svm__class_weight': None, 'svm__gamma': 'scale'}",0.41312884295762253,0.5616854764613497,0.579672121394416,0.4957128331964956,0.41862506231583335,0.49376486726514346,0.06949132138739107,7,0.9955662198475572,0.9900172141469634,0.9911193522332739,0.9900026946996598,0.9937559849521204,0.9920922931759149,0.0022115616967378726
1.7978041648864747,0.12756836919324346,0.12918548583984374,0.009388148623572044,150,3,,auto,"{'selector__k': 150, 'svm__C': 3, 'svm__class_weight': None, 'svm__gamma': 'auto'}",0.41312884295762253,0.5616854764613497,0.579672121394416,0.4957128331964956,0.41862506231583335,0.49376486726514346,0.06949132138739107,7,0.9955662198475572,0.9900172141469634,0.9911193522332739,0.9900026946996598,0.9937559849521204,0.9920922931759149,0.0022115616967378726
1.7730226516723633,0.12514124101813587,0.13219223022460938,0.025914681630795973,125,10,balanced,auto,"{'selector__k': 125, 'svm__C': 10, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto'}",0.43536474772706063,0.5564871106886493,0.5882890763641241,0.4541234638810201,0.4324636571188917,0.4933456111559491,0.06573869520633935,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.7737284660339356,0.06258072906855558,0.12395544052124023,0.018374449299213173,125,10,balanced,scale,"{'selector__k': 125, 'svm__C': 10, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale'}",0.43536474772706063,0.5564871106886493,0.5882890763641241,0.4541234638810201,0.4324636571188917,0.4933456111559491,0.06573869520633935,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
