Features,Accuracy,Precision,Recall,F1 Score
50,0.4066666666666667,0.3980956209989793,0.4066666666666667,0.39756251863145176
100,0.52,0.5403455720528891,0.52,0.5141858129030858
150,0.49333333333333335,0.5133824764675828,0.49333333333333335,0.4897030309740941
200,0.5,0.5166487905872849,0.5,0.4968991748494582
250,0.49,0.5125675817115319,0.49,0.4892633112772268
300,0.5,0.5231649181771582,0.5,0.49879275546573365
