Model,Accuracy,Precision,Recall,F1 Score
SVM,0.49,0.5149053999176398,0.49,0.4893980592044745
MLP Neural Network,0.4666666666666667,0.49893701189673967,0.4666666666666667,0.46593839895605543
Random Forest,0.49,0.48124785459538394,0.49,0.4513470054397314
